node_id,out_degree_w,in_degree_w,eigenvector,betweenness,role,event_id
usdc_kraken,4.953882766534624,2.665359030437744,0.29766956433017316,0.33333333333333337,amplifier,usdc_svb_2023
uniswap_usdc_usdt_005,3.0683019666155102,1.318184963369987,0.2179561035558977,0.06666666666666667,mixed,usdc_svb_2023
curve_3pool,2.8394192106551936,1.743294731286087,0.286278418588344,0.0,mixed,usdc_svb_2023
usdt_kraken,2.0966685421488496,2.7431256914063358,0.44163103446533614,0.0,mixed,usdc_svb_2023
eth_usdc_exchange_flows,1.931415646703303,0.0,-0.0,0.0,originator,usdc_svb_2023
usdc_coinbase,1.5804193978270686,4.294667628738427,0.5550108785017533,0.2777777777777778,sink,usdc_svb_2023
eth_bridge_flows,1.366751098779512,3.9830687119361525,0.38306405497422413,0.0,sink,usdc_svb_2023
usdc_binance,1.2794751291367208,1.4886143347696112,0.2207514494298276,0.1388888888888889,amplifier,usdc_svb_2023
usdt_binance,1.2794751291367208,1.4886143347696112,0.2207514494298276,0.1388888888888889,amplifier,usdc_svb_2023
eth_usdt_exchange_flows,0.584069483951311,0.919509214363085,0.1316379761363089,0.0,mixed,usdc_svb_2023
usdc_mint_burn,0.584069483951311,0.919509214363085,0.1316379761363089,0.0,mixed,usdc_svb_2023
ust_binance,0.3843379750087277,0.2648923287502653,0.6310623568001241,0.6666666666666666,amplifier,terra_luna_2022
curve_3pool,0.14561680324643428,0.18371919558738536,0.5373907069242635,0.0,mixed,terra_luna_2022
curve_ust_wormhole,0.14561680324643428,0.18371919558738536,0.5373907069242635,0.0,mixed,terra_luna_2022
usdt_binance,0.01624427602650419,0.059485137603064356,0.1555080642692,0.6666666666666666,sink,terra_luna_2022
usdt_kraken,2.018108052752968,0.6458432594058134,0.34595969363236617,0.2,originator,usdt_curve_2023
uniswap_usdc_usdt_005,0.7640331363992151,0.312148825168322,0.1872051867466687,0.1,originator,usdt_curve_2023
usdt_binance,0.4911496532065569,0.5519716837458234,0.309613375696917,0.2,amplifier,usdt_curve_2023
curve_3pool,0.34772896676510767,0.6638788159995512,0.34707899906149486,0.0,mixed,usdt_curve_2023
curve_crvusd_usdt,0.34772896676510767,0.6638788159995512,0.34707899906149486,0.0,mixed,usdt_curve_2023
usdt_mint_burn,0.0,1.131027375569894,0.7130764354874208,0.0,sink,usdt_curve_2023
curve_3pool,1.5364560932950506,0.33423576721595594,0.29116364697409397,0.15000000000000002,originator,ftx_2022
eth_usdc_exchange_flows,1.2655410894673973,0.0,-0.0,0.0,originator,ftx_2022
usdt_binance,0.3551245355482336,0.5123340835216861,0.37066373126159635,0.30000000000000004,amplifier,ftx_2022
eth_bridge_flows,0.3013127021700906,2.0153733784845236,0.6982142636268952,0.0,sink,ftx_2022
eth_usdt_exchange_flows,0.30131270216909056,0.0,-0.0,0.0,originator,ftx_2022
busd_binance,0.034495181249955265,0.9322990746776523,0.5388218361164744,0.4,sink,ftx_2022
curve_3pool,0.8147066294154276,0.651775318552589,0.6696036206183986,0.0,mixed,busd_2023
usdc_binance,0.3375582374992231,0.435092520526526,0.5237267510995997,0.08333333333333333,mixed,busd_2023
usdt_binance,0.3375582374992231,0.435092520526526,0.5237267510995997,0.08333333333333333,mixed,busd_2023
busd_binance,0.07927834308877202,0.04714108789700478,0.055241032032792944,0.6666666666666666,amplifier,busd_2023
